input,output,label
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Harold Schwartz is a human who is a citizen of the United States. """""" >>> Output: """"""","[s] Harold_Schwartz [r] human [o] Citizen_of_the_United_States [e] [end] """""" ##",[s] Harold_Schwartz [r] country of citizenship [o] United_States [e] [s] Harold_Schwartz [r] instance of [o] Human [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Nate Blackwell was born in Philadelphia, Pennsylvania. He is a professional basketball player in the National Basketball Association and was educated at Temple University. His native language is English. Philadelphia County, Pennsylvania is coextensive with Philadelphia and shares a border with Lower Moreland Township, Montgomery County, Pennsylvania. """""" >>> Output: """"""","[s] Nate_Blackwell [r] birthplace [o] Philadelphia,_Pennsylvania [e] [s] Nate_Blackwell [r] education [o] Temple_University [e] [s] Nate_Blackwell [r] native language [o] English_language [e] [s] Philadelphia_County,_Pennsylvania [r] coextensive with [o] Philadelphia [e] [s] Philadelphia_County,_Pennsylvania [r] border with [o] Lower_Moreland_Township,_","[s] Nate_Blackwell [r] place of birth [o] Philadelphia [e] [s] Nate_Blackwell [r] league [o] National_Basketball_Association [e] [s] Nate_Blackwell [r] educated at [o] Temple_University [e] [s] Nate_Blackwell [r] native language [o] English_language [e] [s] Philadelphia [r] shares border with [o] Lower_Moreland_Township,_Montgomery_County,_Pennsylvania [e] [s] Philadelphia [r] coextensive with [o] Philadelphia_County,_Pennsylvania [e]"
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Nathan George Evans was born in Marion, South Carolina and served in the Confederate States of America during the American Civil War. He attained the rank of Brigadier General and General Officer and fought in the Battle of Antietam, Battle of Ball's Bluff, and Second Battle of Bull Run. The Kansas–Nebraska Act and John Brown's raid on Harpers Ferry were contributing factors to the war. """""" >>> Output: """"""","[s] Nathan_George_Evans [r] birthplace [o] Marion,_South_Carolina [e] [s] Nathan_George_Evans [r] military service [o] Confederate_States_of_America [e] [s] Nathan_George_Evans [r] military rank [o] Brigadier_General [e] [s] Nathan_George_Evans [r] military rank [o] General_Officer [e] [s] Nathan_George_Evans","[s] Nathan_George_Evans [r] conflict [o] American_Civil_War [e] [s] Nathan_George_Evans [r] place of birth [o] Marion,_South_Carolina [e] [s] Nathan_George_Evans [r] conflict [o] Battle_of_Antietam [e] [s] Nathan_George_Evans [r] conflict [o] Battle_of_Ball's_Bluff [e] [s] Nathan_George_Evans [r] conflict [o] Second_Battle_of_Bull_Run [e] [s] Nathan_George_Evans [r] allegiance [o] Confederate_States_of_America [e] [s] Nathan_George_Evans [r] military rank [o] Brigadier_general [e] [s] Nathan_George_Evans [r] military rank [o] General_officer [e] [s] American_Civil_War [r] has contributing factor [o] Kansas–Nebraska_Act [e] [s] American_Civil_War [r] has contributing factor [o] John_Brown's_raid_on_Harpers_Ferry [e]"
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Family Matters is set in the year 1989 and features a list of characters, known as the List of Family Matters characters. """""" >>> Output: """"""","[s] Family_Matters [r] setting [o] 1989 [e] [s] Family_Matters [r] list of characters [o] List_of_Family_Matters_characters [e] [end] """""" ##",[s] Family_Matters [r] set in period [o] 1989 [e] [s] Family_Matters [r] list of characters [o] List_of_Family_Matters_characters [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Harry Agar Lyons was an actor. """""" >>> Output: """"""","[s] Harry_Agar_Lyons [r] occupation [o] Actor [e] [end] """""" ##",[s] Harry_Agar_Lyons [r] occupation [o] Actor [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Swissair was an airline based in Switzerland with its headquarters in Zürich. It was the hub for Zurich Airport, and had a subsidiary called Crossair. In 2002, it was replaced by Swiss International Air Lines. """""" >>> Output: """"""","[s] Swissair [r] main subject [o] Airline [e] [s] Swissair [r] headquarters location [o] Zürich [e] [s] Swissair [r] hub [o] Zurich_Airport [e] [s] Swissair [r] subsidiary [o] Crossair [e] [s] Swissair [r] replaced by [o] Swiss_International_Air_Lines [e] [end] """""" ##",[s] Swissair [r] airline hub [o] Zurich_Airport [e] [s] Swissair [r] replaced by [o] Swiss_International_Air_Lines [e] [s] Swissair [r] subsidiary [o] Crossair [e] [s] Swissair [r] headquarters location [o] Zürich [e] [s] Swissair [r] country [o] Switzerland [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Carlos Semprún was a prolific writer who wrote in both the French and Spanish languages. He passed away in Paris and had a brother named Jorge Semprún. """""" >>> Output: """"""","[s] Carlos_Semprún [r] main subject [o] Carlos_Semprún [e] [s] Carlos_Semprún [r] language of writing [o] French_language [e] [s] Carlos_Semprún [r] language of writing [o] Spanish_language [e] [s] Carlos_Semprún [r] place of death [o] Paris [e] [s] Carlos_Semprún [r] sibling [o] Jorge_Semprún [e] [end] """""" ##",[s] Carlos_Semprún [r] writing language [o] French_language [e] [s] Carlos_Semprún [r] writing language [o] Spanish_language [e] [s] Carlos_Semprún [r] place of death [o] Paris [e] [s] Carlos_Semprún [r] sibling [o] Jorge_Semprún [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" The Alliance Theatre is a theatre located in the U.S. state of Georgia and is a subsidiary of the Woodruff Arts Center. It has received the Regional Theatre Tony Award and is part of the United States. """""" >>> Output: """"""","[s] Alliance_Theatre [r] location [o] U.S._state_of_Georgia [e] [s] Alliance_Theatre [r] parent organization [o] Woodruff_Arts_Center [e] [s] Alliance_Theatre [r] award [o] Regional_Theatre_Tony_Award [e] [s] Alliance_Theatre [r] location [o] United_States [e] [end] """""" ##",[s] Alliance_Theatre [r] parent organization [o] Woodruff_Arts_Center [e] [s] Alliance_Theatre [r] award received [o] Regional_Theatre_Tony_Award [e] [s] Alliance_Theatre [r] located in the administrative territorial entity [o] Georgia_(U.S._state) [e] [s] Alliance_Theatre [r] country [o] United_States [e] [s] Woodruff_Arts_Center [r] subsidiary [o] Alliance_Theatre [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Makineh Nasiri is an Iranian village. """""" >>> Output: """"""","[s] Makineh_Nasiri [r] location [o] Iran [e] [end] """""" ##",[s] Makineh_Nasiri [r] instance of [o] Village [e] [s] Makineh_Nasiri [r] country [o] Iran [e]
"

Extract the triples in fully-expanded format from texts below.
Input: """""" Vettaikaaran (2009 film) was originally written in the Tamil language, with B. Babusivan as the screenwriter. """""" >>> Output: """""" [s] Vettaikaaran_(2009_film) [r] original language of film or TV show [o] Tamil_language [e] [s] Vettaikaaran_(2009_film) [r] screenwriter [o] B._Babusivan [e] [end] """""" ##
Input: """""" The NHL Stadium Series is a sport that consists of ice hockey. """""" >>> Output: """""" [s] NHL_Stadium_Series [r] sport [o] Ice_hockey [e] [end] """""" ##
Input: """""" Abhishek Pictures is a film production company based in Hyderabad. """""" >>> Output: """""" [s] Abhishek_Pictures [r] industry [o] Film_industry [e] [s] Abhishek_Pictures [r] headquarters location [o] Hyderabad [e] [end] """""" ##
Input: """""" Swedish Open Cultural Heritage is a project developed by the Swedish National Heritage Board, which is mainly focused on cultural heritage. It produces Resource Description Framework as its product or material and uses XML, JSON, and JSON-LD as its file formats. XML was inspired by Standard Generalized Markup Language. """""" >>> Output: """""" [s] Swedish_Open_Cultural_Heritage [r] main subject [o] Cultural_heritage [e] [s] Swedish_Open_Cultural_Heritage [r] developer [o] Swedish_National_Heritage_Board [e] [s] Swedish_Open_Cultural_Heritage [r] product or material produced [o] Resource_Description_Framework [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] XML [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON [e] [s] Swedish_Open_Cultural_Heritage [r] file format [o] JSON-LD [e] [s] XML [r] inspired by [o] Standard_Generalized_Markup_Language [e] [end] """""" ##
Input: """""" Csaba Szentpétery, born in Budapest, Hungary, competed in Ice dance and Figure skating as a professional athlete. He had a business and sport partnership with Regina Woodward. Ice dance is distinct from Figure skating. """""" >>> Output: """"""",[s] Csaba_Szentpétery [r] main subject [o] Figure_skating [e] [s] Csaba_Szentpétery [r] sport [o] Ice_dance [e] [s] Csaba_Szentpétery [r] sport [o] Figure_skating [e] [s] Csaba_Szentpétery [r] business partner [o] Regina_Woodward [e] [s] Ice_dance [r] distinct from [o] Figure_skating [e] [end,[s] Csaba_Szentpétery [r] sports discipline competed in [o] Ice_dance [e] [s] Csaba_Szentpétery [r] partner in business or sport [o] Regina_Woodward [e] [s] Csaba_Szentpétery [r] sport [o] Figure_skating [e] [s] Csaba_Szentpétery [r] country for sport [o] Hungary [e] [s] Csaba_Szentpétery [r] place of birth [o] Budapest [e] [s] Ice_dance [r] different from [o] Figure_skating [e]
